show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_of_release,year_of_release,countries
s8,Movie,Sankofa,Haile Gerima,"['Kofi Ghanaba', 'Oyafunmike Ogunlano', 'Alexandra Duah', 'Nick Medley', 'Mutabaruka', 'Afemo Omilami', 'Reggie Carter', 'Mzuri']",United States,2021-09-24,1993,5,125,Dramas,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",9.0,2021.0,[]
s13,Movie,Je Suis Karl,Christian Schwochow,"['Luna Wedler', 'Jannis Niewöhner', 'Milan Peschel', 'Edin Hasanović', 'Anna Fialová', 'Marlon Boess', 'Victor Boccard', 'Fleur Geffrier', 'Aziz Dyab', 'Mélanie Fouché', 'Elizaveta Maximová']",Germany,2021-09-23,2021,3,127,Dramas,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",9.0,2021.0,[]
s29,Movie,Dark Skies,Scott Stewart,"['Keri Russell', 'Josh Hamilton', 'J.K. Simmons', 'Dakota Goyo', 'Kadan Rockett', 'L.J. Benet', 'Rich Hutchman', 'Myndy Crist', 'Annie Thurman', 'Jake Brennan']",United States,2021-09-19,2013,4,97,Horror Movies,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",9.0,2021.0,[]
s30,Movie,Paranoia,Robert Luketic,"['Liam Hemsworth', 'Gary Oldman', 'Amber Heard', 'Harrison Ford', 'Lucas Till', 'Embeth Davidtz', 'Julian McMahon', 'Josh Holloway', 'Richard Dreyfuss', 'Angela Sarafyan']",United States,2021-09-19,2013,8,106,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",9.0,2021.0,[]
s39,Movie,Birth of the Dragon,George Nolfi,"['Billy Magnussen', 'Ron Yuan', 'Qu Jingjing', 'Terry Chen', 'Vanness Wu', 'Jin Xing', 'Philip Ng', 'Xia Yu', 'Yu Xia']",China,2021-09-16,2017,7,96,Action & Adventure,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",9.0,2021.0,[]
s42,Movie,Jaws,Steven Spielberg,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary', 'Murray Hamilton', 'Carl Gottlieb', 'Jeffrey Kramer', 'Susan Backlinie', 'Jonathan Filley', 'Ted Grossman']",United States,2021-09-16,1975,5,124,Action & Adventure,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",9.0,2021.0,[]
s43,Movie,Jaws 2,Jeannot Szwarc,"['Roy Scheider', 'Lorraine Gary', 'Murray Hamilton', 'Joseph Mascolo', 'Jeffrey Kramer', 'Collin Wilcox Paxton', 'Ann Dusenberry', 'Mark Gruner', 'Barry Coe', 'Susan French']",United States,2021-09-16,1978,5,116,Dramas,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",9.0,2021.0,[]
s44,Movie,Jaws 3,Joe Alves,"['Dennis Quaid', 'Bess Armstrong', 'Simon MacCorkindale', 'Louis Gossett Jr.', 'John Putch', 'Lea Thompson', 'P.H. Moriarty', 'Dan Blasko', 'Liz Morris', 'Lisa Maurer']",United States,2021-09-16,1983,3,98,Action & Adventure,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",9.0,2021.0,[]
s45,Movie,Jaws: The Revenge,Joseph Sargent,"['Lorraine Gary', 'Lance Guest', 'Mario Van Peebles', 'Karen Young', 'Michael Caine', 'Judith Barsi', 'Mitchell Anderson', 'Lynn Whitfield']",United States,2021-09-16,1987,4,91,Action & Adventure,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",9.0,2021.0,[]
s47,Movie,Safe House,Daniel Espinosa,"['Denzel Washington', 'Ryan Reynolds', 'Vera Farmiga', 'Brendan Gleeson', 'Sam Shepard', 'Rubén Blades', 'Nora Arnezeder', 'Robert Patrick', 'Liam Cunningham', 'Joel Kinnaman']",South Africa,2021-09-16,2012,6,115,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,9.0,2021.0,[]
s49,Movie,Training Day,Antoine Fuqua,"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn', 'Tom Berenger', 'Harris Yulin', 'Raymond J. Barry', 'Cliff Curtis', 'Dr. Dre', 'Snoop Dogg', 'Macy Gray', 'Eva Mendes']",United States,2021-09-16,2001,9,122,Dramas,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,9.0,2021.0,[]
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Mieko Harada', 'Koji Tsujitani', 'Houko Kuwashima', 'Kumiko Watanabe', 'Noriko Hidaka', 'Kenichi Ogata', 'Toshiyuki Morikawa', 'Izumi Ogami']",Japan,2021-09-15,2002,6,99,Action & Adventure,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",9.0,2021.0,[]
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Koji Tsujitani', 'Houko Kuwashima', 'Kumiko Watanabe', 'Ken Narita', 'Akio Otsuka', 'Kikuko Inoue']",Japan,2021-09-15,2003,7,99,Action & Adventure,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,9.0,2021.0,[]
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Koji Tsujitani', 'Houko Kuwashima', 'Kumiko Watanabe', 'Noriko Hidaka', 'Ken Narita', 'Cho', 'Mamiko Noto', 'Nobutoshi Canna']",Japan,2021-09-15,2004,7,88,Action & Adventure,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",9.0,2021.0,[]
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Koji Tsujitani', 'Houko Kuwashima', 'Kumiko Watanabe', 'Kenichi Ogata', 'Noriko Hidaka', 'Hisako Kyoda', 'Ken Narita', 'Tomokazu Seki']",Japan,2021-09-15,2001,5,100,Action & Adventure,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",9.0,2021.0,[]
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"['Junko Takeuchi', 'Chie Nakamura', 'Rikiya Koyama', 'Kazuhiko Inoue', 'Masaki Terasoma', 'Mie Sonozaki', 'Yuichi Nakamura', 'Kengo Kawanishi', 'Kosei Hirota', 'Masako Katsuki']",Japan,2021-09-15,2011,3,102,Action & Adventure,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",9.0,2021.0,[]
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"['Junko Takeuchi', 'Chie Nakamura', 'Noriaki Sugiyama', 'Unsho Ishizuka', 'Motoko Kumai', 'Kazuhiko Inoue', 'Rikiya Koyama', 'Showtaro Morikubo', 'Nana Mizuki', 'Satoshi Hino', 'Shinji Kawada']",Japan,2021-09-15,2008,4,93,Action & Adventure,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",9.0,2021.0,[]
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"['Junko Takeuchi', 'Chie Nakamura', 'Kazuhiko Inoue', 'Satoshi Hino', 'Showtaro Morikubo', 'Kentaro Ito', 'Ryoka Yuzuki', 'Kohsuke Toriumi', 'Nana Mizuki', 'Shinji Kawada', 'Yoichi Masukawa', 'Koichi Tochika', 'Yukari Tamura']",Japan,2021-09-15,2009,4,96,Action & Adventure,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",9.0,2021.0,[]
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"['Junko Takeuchi', 'Chie Nakamura', 'Yoichi Masukawa', 'Koichi Tochika', 'Ayumi Fujimura', 'Keisuke Oda', 'Daisuke Kishio', 'Fumiko Orikasa', 'Hidetoshi Nakamura', 'Tetsuya Kakihara', 'Kisho Taniyama', 'Miyuki Sawashiro', 'Katsuyuki Konishi', 'Masako Katsuki', 'Keiko Nemoto', 'Masashi Ebara', 'Kazuhiko Inoue', 'Showtaro Morikubo', 'Romi Park', 'Daisuke Ono', 'Seizo Kato']",Japan,2021-09-15,2007,5,95,Action & Adventure,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",9.0,2021.0,[]
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"['Junko Takeuchi', 'Chie Nakamura', 'Satoshi Hino', 'Rikiya Koyama', 'Nobuaki Fukuda', 'Kenji Hamada', 'Keiko Nemoto', 'Saori Hayami', 'Yumi Toma', 'Yuko Kobayashi', 'Fujiko Takimoto', 'Mutsumi Tamura', 'Mayuki Makiguchi', 'Toshiyuki Morikawa']",Japan,2021-09-15,2010,9,85,Action & Adventure,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",9.0,2021.0,[]
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"['Junko Takeuchi', 'Gamon Kaai', 'Chie Nakamura', 'Showtaro Morikubo', 'Akira Ishida', 'Yasuyuki Kase', 'Urara Takano', 'Sachiko Kojima', 'Houko Kuwashima', 'Takako Honda']",Japan,2021-09-15,2005,6,97,Action & Adventure,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",9.0,2021.0,[]
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"['Junko Takeuchi', 'Chie Nakamura', 'Yoichi Masukawa', 'Kazuhiko Inoue', 'Akio Otsuka', 'Kyousuke Ikeda', 'Marika Hayashi', 'Umeji Sasaki', 'Masashi Sugawara', 'Hisao Egawa']",Japan,2021-09-15,2006,8,95,Action & Adventure,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",9.0,2021.0,[]
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"['Junko Takeuchi', 'Noriaki Sugiyama', 'Chie Nakamura', 'Kazuhiko Inoue', 'Yuhko Kaida', 'Tsutomu Isobe', 'Hirotaka Suzuoki', 'Jun Karasawa', 'Harii Kaneko', 'Ikuo Nishikawa']",Japan,2021-09-15,2004,8,83,Action & Adventure,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",9.0,2021.0,[]
s74,Movie,King of Boys,Kemi Adetiba,"['Sola Sobowale', 'Adesua Etomi', 'Remilekun ""Reminisce"" Safaru', 'Tobechukwu ""iLLbliss"" Ejiofor', 'Toni Tones', 'Paul Sambo', 'Jide Kosoko', 'Sharon Ooja']",Nigeria,2021-09-14,2018,4,182,Dramas,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",9.0,2021.0,[]
