show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_of_release,year_of_release,countries
s29,Movie,Dark Skies,Scott Stewart,"['Keri Russell', 'Josh Hamilton', 'J.K. Simmons', 'Dakota Goyo', 'Kadan Rockett', 'L.J. Benet', 'Rich Hutchman', 'Myndy Crist', 'Annie Thurman', 'Jake Brennan']",United States,2021-09-19,2013,10,97,Horror Movies,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",9.0,2021.0,[]
s30,Movie,Paranoia,Robert Luketic,"['Liam Hemsworth', 'Gary Oldman', 'Amber Heard', 'Harrison Ford', 'Lucas Till', 'Embeth Davidtz', 'Julian McMahon', 'Josh Holloway', 'Richard Dreyfuss', 'Angela Sarafyan']",United States,2021-09-19,2013,10,106,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",9.0,2021.0,[]
s123,Movie,In the Cut,Jane Campion,"['Meg Ryan', 'Mark Ruffalo', 'Jennifer Jason Leigh', 'Nick Damici', 'Sharrieff Pugh', 'Kevin Bacon', 'Yaani King Mondschein', 'Heather Litteer']",United Kingdom,2021-09-02,2003,5,118,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",9.0,2021.0,[]
s151,Movie,In Too Deep,Michael Rymer,"['Omar Epps', 'LL Cool J', 'Nia Long', 'Stanley Tucci', 'Pam Grier', 'Hill Harper', 'Jake Weber', 'David Patrick Kelly', 'Veronica Webb', 'Ron Canada', 'Robert LaSardo', 'Gano Grills', 'Ivonne Coll', 'Don Harvey', 'Mya', ""Nasir 'Nas' Jones"", 'Jermaine Dupri']",United States,2021-09-01,1999,6,97,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",9.0,2021.0,[]
s211,Movie,Ragini MMS,Pawan Kripalani,"['Kainaz Motivala', 'Rajkummar Rao', 'Rajat Kaul', 'Janice', 'Shernaza', 'Mangala Ahire', 'Vinod Rawat']",India,2021-08-27,2011,8,93,Horror Movies,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,8.0,2021.0,[]
s212,Movie,Ragini MMS 2,Bhushan Patel,"['Sunny Leone', 'Saahil Prem', 'Parvin Dabas', 'Sandhya Mridul', 'Divya Dutta', 'Soniya Mehra', 'Kainaz Motivala', 'Karan Mehra']",India,2021-08-27,2014,8,113,Horror Movies,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.,8.0,2021.0,[]
s230,Movie,The Old Ways,Christopher Alender,"['Brigitte Kali Canales', 'Andrea Cortes', 'Julia Vera', 'Sal Lopez']",United States,2021-08-25,2020,10,90,Horror Movies,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed.",8.0,2021.0,[]
s274,TV Show,Gone for Good,Juan Carlos Medina,"['Finnegan Oldfield', 'Nicolas Duvauchelle', 'Guillaume Gouix', 'Garance Marillier', 'Nailia Harzoune']",France,2021-08-13,2021,7,180,Crime TV Shows,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel.",8.0,2021.0,[]
s300,Movie,The Swarm,Just Philippot,"['Suliane Brahim', 'Sofian Khammes', 'Marie Narbonne', 'Raphaël Romand', 'Stéphan Castang', 'Victor Bonnel', 'Christian Bouillette', 'Renan Prévot', 'Vincent Deniard']",France,2021-08-06,2021,8,102,Horror Movies,"A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood.",8.0,2021.0,[]
s308,Movie,Aftermath,Peter Winther,"['Ashley Greene', 'Shawn Ashmore', 'Sharif Atkins', 'Britt Baron', 'Diana Hopper', 'Ross McCall', 'Jamie Kaler', 'Travis Coles', 'Susan Walters', 'Jason Liles']",United States,2021-08-04,2021,10,115,Horror Movies,"Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history.",8.0,2021.0,[]
